Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2018-10-21T23:00:00.145Z,6412.530491,6406.390391,6472.834459,6398.003393
BTC,2018-10-22T23:00:00.527Z,6396.880154,6412.204305,6437.074557,6362.332866
BTC,2018-10-23T23:00:00.017Z,6396.252324,6405.565596,6434.977703,6352.138046
BTC,2018-10-24T22:59:59.786Z,6407.667175,6402.02255,6460.249804,6383.94633
BTC,2018-10-25T22:59:59.884Z,6405.500726,6412.566041,6421.783207,6358.259247
BTC,2018-10-26T23:00:00.607Z,6392.179337,6405.336552,6448.028506,6370.195735
BTC,2018-10-27T23:00:00.142Z,6436.355484,6392.845687,6442.889414,6389.344445
BTC,2018-10-28T17:00:00.147Z,6429.687141,6441.739221,6442.090373,6408.770584
BTC,2018-10-29T22:59:59.000Z,6266.189683,6430.150405,6439.457696,6211.560523
BTC,2018-10-30T23:00:00.000Z,6276.4645,6265.91015,6313.272457,6247.517585
BTC,2018-10-31T23:00:00.000Z,6321.713671,6276.734671,6394.783431,6207.057336
BTC,2018-11-01T22:59:58.000Z,6341.094813,6322.093628,6376.656227,6296.589337
BTC,2018-11-02T22:59:59.000Z,6360.141272,6340.400656,6409.156466,6336.649751
BTC,2018-11-03T22:59:59.000Z,6344.738943,6360.719812,6371.23797,6292.151812
BTC,2018-11-04T22:59:58.000Z,6405.139755,6344.738943,6473.778438,6318.627622
BTC,2018-11-05T22:59:58.000Z,6396.352124,6405.140331,6440.957228,6374.69889
BTC,2018-11-06T22:59:59.000Z,6425.917802,6404.377175,6449.998745,6377.542775
BTC,2018-11-07T23:00:00.000Z,6514.489453,6426.655222,6553.951932,6424.658626
BTC,2018-11-08T22:59:59.000Z,6412.524289,6518.336088,6530.733661,6400.936546
BTC,2018-11-09T22:59:59.000Z,6343.632504,6412.524,6433.253185,6309.652653
BTC,2018-11-10T23:00:00.000Z,6365.655232,6338.781895,6396.877364,6335.218051
BTC,2018-11-11T22:59:59.000Z,6327.480646,6360.005434,6380.813434,6292.721847
