DATE,DEXUSEU
8/10/2016,1.1171
8/11/2016,1.1168
8/12/2016,1.1172
8/15/2016,1.1199
8/16/2016,1.1277
8/17/2016,1.1263
8/18/2016,1.1334
8/19/2016,1.1326
8/22/2016,1.1314
8/23/2016,1.1308
8/24/2016,1.1256
8/25/2016,1.1274
8/26/2016,1.1237
8/29/2016,1.1182
8/30/2016,1.115
8/31/2016,1.1146
9/1/2016,1.1194
9/2/2016,1.1158
9/5/2016,.
9/6/2016,1.1237
9/7/2016,1.1238
9/8/2016,1.1256
9/9/2016,1.1214
9/12/2016,1.123
9/13/2016,1.1242
9/14/2016,1.1271
9/15/2016,1.1246
9/16/2016,1.116
9/19/2016,1.1179
9/20/2016,1.1172
9/21/2016,1.1165
9/22/2016,1.1229
9/23/2016,1.1223
9/26/2016,1.127
9/27/2016,1.1208
9/28/2016,1.12
9/29/2016,1.1244
9/30/2016,1.1238
10/3/2016,1.121
10/4/2016,1.1212
10/5/2016,1.1196
10/6/2016,1.1158
10/7/2016,1.1156
10/10/2016,.
10/11/2016,1.1062
10/12/2016,1.1014
10/13/2016,1.1038
10/14/2016,1.0985
10/17/2016,1.1
10/18/2016,1.0997
10/19/2016,1.0966
10/20/2016,1.0934
10/21/2016,1.0866
10/24/2016,1.0888
10/25/2016,1.089
10/26/2016,1.0916
10/27/2016,1.0904
10/28/2016,1.0934
10/31/2016,1.0962
11/1/2016,1.1042
11/2/2016,1.1119
11/3/2016,1.1094
11/4/2016,1.1121
11/7/2016,1.1038
11/8/2016,1.1034
11/9/2016,1.0952
11/10/2016,1.0882
11/11/2016,.
11/14/2016,1.0723
11/15/2016,1.0726
11/16/2016,1.0699
11/17/2016,1.0656
11/18/2016,1.06
11/21/2016,1.0597
11/22/2016,1.0618
11/23/2016,1.056
11/24/2016,.
11/25/2016,1.0595
11/28/2016,1.0576
11/29/2016,1.0626
11/30/2016,1.0578
12/1/2016,1.0634
12/2/2016,1.0666
12/5/2016,1.0723
12/6/2016,1.0717
12/7/2016,1.0758
12/8/2016,1.0625
12/9/2016,1.0541
12/12/2016,1.0606
12/13/2016,1.0635
12/14/2016,1.0656
12/15/2016,1.0375
12/16/2016,1.0456
12/19/2016,1.0444
12/20/2016,1.039
12/21/2016,1.0425
12/22/2016,1.0452
12/23/2016,1.0449
12/26/2016,.
12/27/2016,1.0458
12/28/2016,1.0389
12/29/2016,1.0486
12/30/2016,1.0552
1/2/2017,.
1/3/2017,1.0416
1/4/2017,1.0476
1/5/2017,1.0598
1/6/2017,1.056
1/9/2017,1.0576
1/10/2017,1.0572
1/11/2017,1.0501
1/12/2017,1.0666
1/13/2017,1.0625
1/16/2017,.
1/17/2017,1.0695
1/18/2017,1.0682
1/19/2017,1.063
1/20/2017,.
